"Movie_Name","Field1_Link","Time","Genre","Year","Rating","Description","Director","Field6_Link","Actor","Field7_Link","Field8_Link","Field9_Link","Field10_Link"
"A Separation","https://www.imdb.com/title/tt1832382/?ref_=adv_li_tt","123 min","Drama","(2011)","8.3","A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.","Asghar Farhadi","https://www.imdb.com/name/nm1410815/?ref_=adv_li_dr_0","Shahab Hosseini","https://www.imdb.com/name/nm1818216/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0368689/?ref_=adv_li_st_1","https://www.imdb.com/name/nm4299147/?ref_=adv_li_st_2","https://www.imdb.com/name/nm1486911/?ref_=adv_li_st_3"
"Incendies","https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt","131 min","Drama, Mystery, War","(2010)","8.3","Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.","Denis Villeneuve","https://www.imdb.com/name/nm0898288/?ref_=adv_li_dr_0","Mustafa Kamel","https://www.imdb.com/name/nm0044073/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0246386/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0309945/?ref_=adv_li_st_2","https://www.imdb.com/name/nm1323233/?ref_=adv_li_st_3"
"7 Kogustaki Mucize","https://www.imdb.com/title/tt10431500/?ref_=adv_li_tt","132 min","Drama","(2019)","8.3","A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).","Mehmet Ada Öztekin","https://www.imdb.com/name/nm3133017/?ref_=adv_li_dr_0","Celile Toyon Uysal","https://www.imdb.com/name/nm4199420/?ref_=adv_li_st_0","https://www.imdb.com/name/nm9651809/?ref_=adv_li_st_1","https://www.imdb.com/name/nm4335569/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0870319/?ref_=adv_li_st_3"
"My Father and My Son","https://www.imdb.com/title/tt0476735/?ref_=adv_li_tt","112 min","Drama, Family","(2005)","8.3","The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.","Çagan Irmak","https://www.imdb.com/name/nm1463981/?ref_=adv_li_dr_0","Ege Tanman","https://www.imdb.com/name/nm1002038/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0476334/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0406157/?ref_=adv_li_st_2","https://www.imdb.com/name/nm2020015/?ref_=adv_li_st_3"
"Toy Story 3","https://www.imdb.com/title/tt0435761/?ref_=adv_li_tt","103 min","Animation, Adventure, Comedy","(2010)","8.3","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Lee Unkrich","https://www.imdb.com/name/nm0881279/?ref_=adv_li_dr_0","Ned Beatty","https://www.imdb.com/name/nm0000158/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000741/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0000349/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0000885/?ref_=adv_li_st_3"
"Inglourious Basterds","https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt","153 min","Adventure, Drama, War","(2009)","8.3","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Quentin Tarantino","https://www.imdb.com/name/nm0000233/?ref_=adv_li_dr_0","Mélanie Laurent","https://www.imdb.com/name/nm0000093/?ref_=adv_li_st_0","https://www.imdb.com/name/nm1208167/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0744834/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0491259/?ref_=adv_li_st_3"
"Eternal Sunshine of the Spotless Mind","https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt","108 min","Drama, Romance, Sci-Fi","(2004)","8.3","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Michel Gondry","https://www.imdb.com/name/nm0327273/?ref_=adv_li_dr_0","Gerry Robert Byrne","https://www.imdb.com/name/nm0000120/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000701/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0929489/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0004423/?ref_=adv_li_st_3"
"Amélie","https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt","122 min","Comedy, Romance","(2001)","8.3","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Jean-Pierre Jeunet","https://www.imdb.com/name/nm0000466/?ref_=adv_li_dr_0","Lorella Cravotta","https://www.imdb.com/name/nm0851582/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0440913/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0749363/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0186677/?ref_=adv_li_st_3"
"Snatch","https://www.imdb.com/title/tt0208092/?ref_=adv_li_tt","102 min","Comedy, Crime","(2000)","8.3","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Guy Ritchie","https://www.imdb.com/name/nm0005363/?ref_=adv_li_dr_0","Dennis Farina","https://www.imdb.com/name/nm0005458/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000093/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0001125/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0001199/?ref_=adv_li_st_3"
"Requiem for a Dream","https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt","102 min","Drama","(2000)","8.3","The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.","Darren Aronofsky","https://www.imdb.com/name/nm0004716/?ref_=adv_li_dr_0","Marlon Wayans","https://www.imdb.com/name/nm0000995/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0001467/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0000124/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0005541/?ref_=adv_li_st_3"
"American Beauty","https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt","122 min","Drama","(1999)","8.3","A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.","Sam Mendes","https://www.imdb.com/name/nm0005222/?ref_=adv_li_dr_0","Wes Bentley","https://www.imdb.com/name/nm0000228/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000906/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0000301/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0004747/?ref_=adv_li_st_3"
