Title,Title_URL,listeritemindex,Year,Time,genre,Rating,Score,Content,Content_URL,Content1,Content_URL2,Content3,Content_URL4,Content5,Content_URL6,Content7,Content_URL8,Content9,Number10
Ab durch die Hecke,https://www.imdb.com/title/tt0327084/?ref_=adv_li_tt,22.,(2006),83 min,"
Animation, Adventure, Comedy            ","6,7","
67        
        Metascore
            ","
    Directors:
Tim Johnson, 
Karey Kirkpatrick
                 | 
    Stars:
Bruce Willis, 
Garry Shandling, 
Steve Carell, 
Wanda Sykes
    ",https://www.imdb.com/name/nm0426333/?ref_=adv_li_dr_0,Tim Johnson,https://www.imdb.com/name/nm0456732/?ref_=adv_li_dr_1,Karey Kirkpatrick,https://www.imdb.com/name/nm0000246/?ref_=adv_li_st_0,Bruce Willis,https://www.imdb.com/name/nm0788009/?ref_=adv_li_st_1,Garry Shandling,https://www.imdb.com/name/nm0136797/?ref_=adv_li_st_2,Steve Carell,$155.02M
Beverly Hills Cop II,https://www.imdb.com/title/tt0092644/?ref_=adv_li_tt,23.,(1987),100 min,"
Action, Comedy, Crime            ","6,5","
48        
        Metascore
            ","
    Director:
Tony Scott
                 | 
    Stars:
Eddie Murphy, 
Judge Reinhold, 
Jürgen Prochnow, 
Ronny Cox
    ",https://www.imdb.com/name/nm0001716/?ref_=adv_li_dr_0,Tony Scott,https://www.imdb.com/name/nm0000552/?ref_=adv_li_st_0,Eddie Murphy,https://www.imdb.com/name/nm0001662/?ref_=adv_li_st_1,Judge Reinhold,https://www.imdb.com/name/nm0001638/?ref_=adv_li_st_2,Jürgen Prochnow,https://www.imdb.com/name/nm0001074/?ref_=adv_li_st_3,Ronny Cox,$153.67M
"Die Braut, die sich nicht traut",https://www.imdb.com/title/tt0163187/?ref_=adv_li_tt,24.,(1999),116 min,"
Comedy, Romance            ","5,6","
39        
        Metascore
            ","
    Director:
Garry Marshall
                 | 
    Stars:
Julia Roberts, 
Richard Gere, 
Joan Cusack, 
Hector Elizondo
    ",https://www.imdb.com/name/nm0005190/?ref_=adv_li_dr_0,Garry Marshall,https://www.imdb.com/name/nm0000210/?ref_=adv_li_st_0,Julia Roberts,https://www.imdb.com/name/nm0000152/?ref_=adv_li_st_1,Richard Gere,https://www.imdb.com/name/nm0000349/?ref_=adv_li_st_2,Joan Cusack,https://www.imdb.com/name/nm0001185/?ref_=adv_li_st_3,Hector Elizondo,$152.26M
Daddy's Home - Ein Vater zu viel,https://www.imdb.com/title/tt1528854/?ref_=adv_li_tt,25.,(2015),96 min,"
Comedy, Family            ","6,2","
42        
        Metascore
            ","
    Director:
Sean Anders
                 | 
    Stars:
Will Ferrell, 
Mark Wahlberg, 
Linda Cardellini, 
Thomas Haden Church
    ",https://www.imdb.com/name/nm1890845/?ref_=adv_li_dr_0,Sean Anders,https://www.imdb.com/name/nm0002071/?ref_=adv_li_st_0,Will Ferrell,https://www.imdb.com/name/nm0000242/?ref_=adv_li_st_1,Mark Wahlberg,https://www.imdb.com/name/nm0004802/?ref_=adv_li_st_2,Linda Cardellini,https://www.imdb.com/name/nm0002006/?ref_=adv_li_st_3,Thomas Haden Church,$150.36M
Der gestiefelte Kater,https://www.imdb.com/title/tt0448694/?ref_=adv_li_tt,26.,(2011),90 min,"
Animation, Action, Adventure            ","6,6","
65        
        Metascore
            ","
    Director:
Chris Miller
                 | 
    Stars:
Antonio Banderas, 
Salma Hayek, 
Zach Galifianakis, 
Billy Bob Thornton
    ",https://www.imdb.com/name/nm1844237/?ref_=adv_li_dr_0,Chris Miller,https://www.imdb.com/name/nm0000104/?ref_=adv_li_st_0,Antonio Banderas,https://www.imdb.com/name/nm0000161/?ref_=adv_li_st_1,Salma Hayek,https://www.imdb.com/name/nm0302108/?ref_=adv_li_st_2,Zach Galifianakis,https://www.imdb.com/name/nm0000671/?ref_=adv_li_st_3,Billy Bob Thornton,$149.26M
Megamind,https://www.imdb.com/title/tt1001526/?ref_=adv_li_tt,27.,(2010),95 min,"
Animation, Action, Comedy            ","7,2","
63        
        Metascore
            ","
    Director:
Tom McGrath
                 | 
    Stars:
Will Ferrell, 
Jonah Hill, 
Brad Pitt, 
Tina Fey
    ",https://www.imdb.com/name/nm0569891/?ref_=adv_li_dr_0,Tom McGrath,https://www.imdb.com/name/nm0002071/?ref_=adv_li_st_0,Will Ferrell,https://www.imdb.com/name/nm1706767/?ref_=adv_li_st_1,Jonah Hill,https://www.imdb.com/name/nm0000093/?ref_=adv_li_st_2,Brad Pitt,https://www.imdb.com/name/nm0275486/?ref_=adv_li_st_3,Tina Fey,$148.42M
"Meine Frau, unsere Kinder und ich",https://www.imdb.com/title/tt0970866/?ref_=adv_li_tt,28.,(2010),98 min,"
Comedy, Romance            ","5,5","
27        
        Metascore
            ","
    Director:
Paul Weitz
                 | 
    Stars:
Ben Stiller, 
Teri Polo, 
Robert De Niro, 
Owen Wilson
    ",https://www.imdb.com/name/nm0919369/?ref_=adv_li_dr_0,Paul Weitz,https://www.imdb.com/name/nm0001774/?ref_=adv_li_st_0,Ben Stiller,https://www.imdb.com/name/nm0001632/?ref_=adv_li_st_1,Teri Polo,https://www.imdb.com/name/nm0000134/?ref_=adv_li_st_2,Robert De Niro,https://www.imdb.com/name/nm0005562/?ref_=adv_li_st_3,Owen Wilson,$148.38M
Sonic The Hedgehog,https://www.imdb.com/title/tt3794354/?ref_=adv_li_tt,29.,(2020),99 min,"
Action, Adventure, Comedy            ","6,5","
47        
        Metascore
            ","
    Director:
Jeff Fowler
                 | 
    Stars:
Ben Schwartz, 
James Marsden, 
Jim Carrey, 
Tika Sumpter
    ",https://www.imdb.com/name/nm1733778/?ref_=adv_li_dr_0,Jeff Fowler,https://www.imdb.com/name/nm2355635/?ref_=adv_li_st_0,Ben Schwartz,https://www.imdb.com/name/nm0005188/?ref_=adv_li_st_1,James Marsden,https://www.imdb.com/name/nm0000120/?ref_=adv_li_st_2,Jim Carrey,https://www.imdb.com/name/nm1754366/?ref_=adv_li_st_3,Tika Sumpter,$146.07M
Rush Hour 3,https://www.imdb.com/title/tt0293564/?ref_=adv_li_tt,30.,(2007),91 min,"
Action, Comedy, Crime            ","6,2","
44        
        Metascore
            ","
    Director:
Brett Ratner
                 | 
    Stars:
Jackie Chan, 
Chris Tucker, 
Max von Sydow, 
Hiroyuki Sanada
    ",https://www.imdb.com/name/nm0711840/?ref_=adv_li_dr_0,Brett Ratner,https://www.imdb.com/name/nm0000329/?ref_=adv_li_st_0,Jackie Chan,https://www.imdb.com/name/nm0000676/?ref_=adv_li_st_1,Chris Tucker,https://www.imdb.com/name/nm0001884/?ref_=adv_li_st_2,Max von Sydow,https://www.imdb.com/name/nm0760796/?ref_=adv_li_st_3,Hiroyuki Sanada,$140.13M
Himmel und Huhn,https://www.imdb.com/title/tt0371606/?ref_=adv_li_tt,31.,(2005),81 min,"
Animation, Adventure, Comedy            ","5,7","
48        
        Metascore
            ","
    Director:
Mark Dindal
                 | 
    Stars:
Zach Braff, 
Joan Cusack, 
Garry Marshall, 
Don Knotts
    ",https://www.imdb.com/name/nm0227540/?ref_=adv_li_dr_0,Mark Dindal,https://www.imdb.com/name/nm0103785/?ref_=adv_li_st_0,Zach Braff,https://www.imdb.com/name/nm0000349/?ref_=adv_li_st_1,Joan Cusack,https://www.imdb.com/name/nm0005190/?ref_=adv_li_st_2,Garry Marshall,https://www.imdb.com/name/nm0461455/?ref_=adv_li_st_3,Don Knotts,$135.39M
